,* 단위: 명,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,연도,대륙,국가명,동포여부,총계,학위과정,,,,,,,,,,,,,,,,,,"공동운영
교육과정",연수과정,,,,
1,,,,,,대학·전문대학,,,,,,석사과정,,,,,,박사과정,,,,,,,,,,,
2,,,,,,계,인문사회,공학,자연,의학,예체능,계,인문사회,공학,자연,의학,예체능,계,인문사회,공학,자연,의학,예체능,,계,어학연수생,교환연수생,방문연수생,기타연수생
133,2020,아시아,아르메니아, ,14,2,2,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
134,2020,아시아,베트남,재외동포,13,5,4,0,1,0,0,5,4,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0
135,2020,오세아니아,피지, ,13,3,3,0,0,0,0,7,2,2,3,0,0,1,1,0,0,0,0,0,2,2,0,0,0
136,2020,남아메리카,트리니다드·토바고, ,12,5,2,1,1,0,1,4,2,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0
137,2020,아시아,시리아, ,12,3,1,2,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0
138,2020,아프리카,보츠와나, ,12,0,0,0,0,0,0,6,6,0,0,0,0,3,1,2,0,0,0,0,3,3,0,0,0
139,2020,유럽,그리스, ,12,1,1,0,0,0,0,2,1,0,1,0,0,2,2,0,0,0,0,0,7,5,2,0,0
140,2020,남아메리카,니카라과, ,11,0,0,0,0,0,0,7,6,1,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0
141,2020,남아메리카,우루과이, ,11,4,2,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,5,1,4,0,0
142,2020,아프리카,소말리아, ,11,0,0,0,0,0,0,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2020,유럽,아이슬란드, ,11,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0
144,2020,유럽,라트비아, ,11,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,1,7,0,0
145,2020,유럽,세르비아, ,11,0,0,0,0,0,0,9,7,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0
146,2020,아프리카,토고, ,10,3,1,2,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,4,3,1,0,0
147,2020,유럽,크로아티아, ,10,2,0,1,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0
148,2020,유럽,룩셈부르크, ,10,2,0,0,0,0,2,3,2,0,0,0,1,0,0,0,0,0,0,0,5,2,3,0,0
149,2020,남아메리카,온두라스, ,9,3,1,2,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
150,2020,남아메리카,자메이카, ,9,3,2,1,0,0,0,5,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
151,2020,유럽,영국,재외동포,9,5,3,0,0,1,1,0,0,0,0,0,0,3,1,1,0,0,1,0,1,1,0,0,0
152,2020,아시아,바레인, ,8,3,1,0,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0
153,2020,아시아,몽골,재외동포,8,6,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2020,아시아,오만, ,8,0,0,0,0,0,0,6,3,1,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0
155,2020,아프리카,베냉, ,8,2,1,1,0,0,0,2,1,1,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0
156,2020,아시아,몰디브, ,7,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2020,아프리카,시에라리온, ,7,0,0,0,0,0,0,5,4,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
158,2020,아프리카,부르키나 파소, ,7,4,2,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
159,2020,남아메리카,바하마, ,6,1,0,0,0,0,1,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
160,2020,남아메리카,쿠바, ,6,1,1,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0
161,2020,남아메리카,아이티, ,6,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
162,2020,아시아,카타르, ,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
163,2020,아프리카,차드, ,6,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
164,2020,아프리카,남수단공화국, ,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2020,유럽,알바니아, ,6,2,1,1,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
166,2020,아프리카,나미비아, ,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
167,2020,오세아니아,솔로몬군도, ,5,0,0,0,0,0,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2020,아시아,홍콩,재외동포,4,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2020,아시아,레바논, ,4,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
170,2020,아시아,싱가포르,재외동포,4,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2020,아프리카,중앙아프리카공화국, ,4,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
172,2020,아프리카,적도 기니, ,4,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
173,2020,아프리카,에리트레아, ,4,1,1,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
174,2020,아프리카,레소토, ,4,2,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2020,유럽,보스니아 헤르체고비나, ,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,2,0,0
176,2020,유럽,프랑스,재외동포,4,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
177,2020,유럽,몬테네그로, ,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
178,2020,남아메리카,아르헨티나,재외동포,3,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2020,남아메리카,브라질,재외동포,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2020,남아메리카,벨리즈, ,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2020,아프리카,모리타니, ,3,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
182,2020,아프리카,에스와티니, ,3,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2020,오세아니아,파푸아뉴기니, ,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
